Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2024-01-01,3549.36328125,3568.8278306083957,3513.879802945062,3529.712285492124,825907
2024-01-02,3523.379150390625,3549.363183929598,3508.5246023534996,3549.363183929598,1344068
2024-01-03,3438.20947265625,3512.8084878989966,3433.8323028478494,3508.2914833063164,1803075
2024-01-04,3414.97314453125,3463.58813008378,3400.258204607658,3447.5228181063812,3598144
2024-01-05,3481.18994140625,3490.3635580837076,3422.4702454218473,3422.6098528337334,1963127
2024-01-08,3425.68359375,3482.9133158422196,3420.1886545813795,3481.1902782695042,1067805
2024-01-09,3436.48681640625,3494.648088677372,3429.8279514524115,3455.1598780853456,1370944
2024-01-10,3458.046630859375,3473.1340080380555,3434.7169596150297,3436.579604387055,1292227
2024-01-11,3479.001708984375,3513.879690118427,3452.412406909358,3468.244888948058,1777909
2024-01-12,3616.13916015625,3637.0473054522495,3559.1422668706787,3583.7290906805597,6813450
2024-01-15,3635.696533203125,3692.6934202169923,3618.1876261142534,3688.036808085571,2801505
2024-01-16,3596.11572265625,3631.226536485312,3590.760618120525,3631.226536485312,1432672
2024-01-17,3617.815673828125,3641.424564080022,3550.7138385303956,3556.7208235117105,3458696
2024-01-18,3634.579345703125,3640.353499833649,3596.7675605644026,3630.2951711755672,2239110
2024-01-19,3697.83447265625,3717.059591726697,3671.575773438078,3699.6631577031208,2941975
2024-01-23,3618.30810546875,3689.253392795468,3603.772039730458,3657.4617018928593,2618854
2024-01-24,3602.88134765625,3642.1285897607904,3568.9326446510017,3638.7056721419845,2657709
2024-01-25,3573.340087890625,3620.8870436828015,3543.7051787524156,3601.0991467068993,2205154
2024-01-29,3564.618408203125,3582.436811190723,3545.7216145125103,3564.430891857951,1646747
2024-01-30,3564.196533203125,3608.5080891700763,3551.4891523141855,3570.6673355072853,1411621
2024-01-31,3578.638427734375,3595.565955397303,3560.3511204494907,3574.183827241903,2459358
2024-02-01,3614.463134765625,3662.057029330496,3568.4167652804376,3582.436989907515,2363107
2024-02-02,3719.638916015625,3736.613153638115,3631.2033142998894,3634.063682950061,2826510
2024-02-05,3726.203369140625,3771.8747052852855,3715.6999348975555,3735.300087307631,1691523
2024-02-06,3878.78515625,3891.820633736524,3741.864790482955,3748.4294655539775,4474396
2024-02-07,3829.456298828125,3896.603639652877,3820.594033092657,3894.7280181656797,2124267
2024-02-08,3877.00341796875,3899.417002760364,3831.9415667460817,3835.6458733260915,2345173
2024-02-09,3876.62841796875,3924.5034728185747,3845.0240130368975,3879.3008122308597,2100596
2024-02-12,3864.43701171875,3900.9177589811775,3850.228812262782,3873.1584686878864,1013716
2024-02-13,3891.445068359375,3910.6701855786464,3827.6739478271575,3868.890906690215,1257415
2024-02-14,3845.117919921875,3858.9973357555955,3797.6646047310915,3851.588722467118,1391283
2024-02-15,3848.024658203125,3888.44392895267,3829.0807008130323,3871.2821780446234,1091582
2024-02-16,3871.563720703125,3889.9920672478725,3845.1177337734257,3857.4498528668705,1307556
2024-02-19,3848.587646484375,3871.56401029997,3802.822664172948,3866.640503768057,772291
2024-02-20,3779.986328125,3843.1479657037125,3760.620630178596,3828.236868254403,1193648
