Column,RELIANCE.NS Mean,TCS.NS Mean,RELIANCE.NS Std Dev,TCS.NS Std Dev,RELIANCE.NS Min,TCS.NS Min,RELIANCE.NS Max,TCS.NS Max
Close,1373.923804873512,2441.3952287946427,34.42159454344125,66.40072436064492,1304.5999755859375,2356.0,1414.4000244140625,2589.0
Volume,20091967.904761903,4268744.476190476,4549609.894045013,1528662.7001338883,9559327.0,2466488.0,29274881.0,8627426.0
Daily Return %,-0.20054646254334005,0.02814556947407343,1.7868419725514773,1.624571479085457,-4.5998160868305105,-3.474272661901945,3.3113654798885728,2.6638162046064062
High-Low Gap,30.13810802641369,59.219017392113095,13.911183893425976,16.791294550596234,15.7000732421875,33.800048828125,69.0,95.89990234375
Open-Close Change,-6.842854817708333,-5.257161458333333,19.653840234759688,33.958458801425564,-54.300048828125,-61.0,16.4000244140625,78.800048828125
