Share,Column,Count,Sum,Mean,Median,Mode,Min,Q1,Q2,Q3,IQR,Max,Range,Variance (Population),Std Dev (Population),Variance (Sample),Std Dev (Sample),Skewness,Kurtosis
RELIANCE.NS,Adj Close,20,27594.39990234375,1379.7199951171874,1391.199951171875,"[1304.5999755859375, 1304.699951171875, 1343.9000244140625, 1344.800048828125, 1348.0999755859375, 1350.5, 1369.199951171875, 1380.699951171875, 1384.800048828125, 1390.199951171875, 1392.199951171875, 1395.0999755859375, 1397.5999755859375, 1407.800048828125, 1408.0999755859375, 1408.800048828125, 1411.800048828125, 1413.0999755859375, 1414.4000244140625, 1424.0]",1304.5999755859375,1349.8999938964844,1391.199951171875,1408.2749938964844,58.375,1424.0,119.4000244140625,1216.6362166517972,34.88031273729921,1280.669701738734,35.78644578242905,-0.9078381833833069,-0.09643726174761635
RELIANCE.NS,Close,20,27594.39990234375,1379.7199951171874,1391.199951171875,"[1304.5999755859375, 1304.699951171875, 1343.9000244140625, 1344.800048828125, 1348.0999755859375, 1350.5, 1369.199951171875, 1380.699951171875, 1384.800048828125, 1390.199951171875, 1392.199951171875, 1395.0999755859375, 1397.5999755859375, 1407.800048828125, 1408.0999755859375, 1408.800048828125, 1411.800048828125, 1413.0999755859375, 1414.4000244140625, 1424.0]",1304.5999755859375,1349.8999938964844,1391.199951171875,1408.2749938964844,58.375,1424.0,119.4000244140625,1216.6362166517972,34.88031273729921,1280.669701738734,35.78644578242905,-0.9078381833833069,-0.09643726174761635
RELIANCE.NS,High,20,27965.500122070312,1398.2750061035156,1408.4000244140625,"[1308.300048828125, 1349.0, 1358.199951171875, 1359.0, 1365.0, 1384.4000244140625, 1397.300048828125, 1400.800048828125, 1404.699951171875, 1405.9000244140625, 1410.9000244140625, 1412.9000244140625, 1415.5999755859375, 1415.699951171875, 1422.4000244140625, 1429.4000244140625, 1430.0, 1430.5, 1431.5, 1434.0]",1308.300048828125,1379.5500183105469,1408.4000244140625,1424.1500244140625,44.600006103515625,1434.0,125.699951171875,1101.5746663216873,33.18997840194668,1159.5522803386182,34.052199346571115,-1.1911675402507451,0.9807744885304679
RELIANCE.NS,Low,20,27317.999755859375,1365.8999877929687,1377.25,"[1290.0, 1291.0, 1326.199951171875, 1328.0, 1334.0999755859375, 1345.0, 1362.9000244140625, 1363.5, 1370.0, 1376.0999755859375, 1378.4000244140625, 1381.0999755859375, 1383.5999755859375, 1388.199951171875, 1391.0, 1396.0999755859375, 1397.199951171875, 1400.5999755859375, 1406.5999755859375, 1408.4000244140625]",1290.0,1342.2749938964844,1377.25,1392.2749938964844,50.0,1408.4000244140625,118.4000244140625,1217.6707736821472,34.895139685666074,1281.7587091391024,35.80165791048094,-0.9335446221740301,0.00037542417448976906
RELIANCE.NS,Open,20,27688.099853515625,1384.4049926757812,1389.0,[1420.0],1295.0,1371.0,1389.0,1400.25,29.25,1430.5999755859375,135.5999755859375,1031.2403957279025,32.1129319080009,1085.5162060293712,32.94717295959353,-1.0563193071440042,1.5556644959232848
RELIANCE.NS,Volume,20,401395979.0,20069798.95,19990645.0,"[9559327.0, 9851969.0, 14404619.0, 16498373.0, 17265090.0, 18071259.0, 18620893.0, 18979554.0, 19007744.0, 19041331.0, 20939959.0, 21280051.0, 21848087.0, 22837802.0, 22994918.0, 23266517.0, 24393861.0, 24870822.0, 28388922.0, 29274881.0]",9559327.0,17869716.75,19990645.0,23062817.75,5193101.0,29274881.0,19715554.0,25228384240835.945,5022786.501617996,26556193937722.05,5153270.217805588,-0.36652229455539975,0.3002075789389109
RELIANCE.NS,Daily Return %,19,-5.416194229450146,-0.2850628541815866,-0.007662726272639198,"[-4.5998160868305105, -3.3913401575805247, -1.6547068504931262, -1.3657575108639186, -1.3202794585166266, -1.0674123013957204, -0.8260307716804527, -0.466627225114169, -0.3115459719557956, -0.007662726272639198, 0.09207584026444948, 0.14386419725551658, 0.179198626890531, 0.2841312587912981, 0.7512879352761903, 1.0429510337738757, 1.8825750649750228, 2.1374909403697906, 3.0814099336566647]",-4.5998160868305105,-1.1938458799561735,-0.007662726272639198,0.5177095970337442,1.7115554769899177,3.0814099336566647,7.681226020487175,3.1053065534976314,1.76218800174602,3.2778235842475,1.8104760656378476,-0.5172454545090439,1.0181669996972817
RELIANCE.NS,High-Low Gap,20,647.5003662109375,32.37501831054688,30.0,[30.9000244140625],15.7000732421875,21.949981689453125,30.0,35.32501220703125,13.375030517578125,69.0,53.2999267578125,234.321424256675,15.307561015938333,246.65413079649997,15.705226225575357,1.1320254239921956,0.37505602159698403
RELIANCE.NS,Open-Close Change,20,-93.699951171875,-4.68499755859375,-3.699951171875,"[-54.300048828125, -52.9000244140625, -34.7000732421875, -21.7999267578125, -15.0, -8.199951171875, -6.9000244140625, -6.5, -4.5, -4.199951171875, -3.199951171875, -1.4000244140625, 2.199951171875, 7.800048828125, 8.9000244140625, 9.5999755859375, 10.9000244140625, 15.0999755859375, 16.4000244140625, 49.0]",-54.300048828125,-9.89996337890625,-3.699951171875,9.07501220703125,18.9749755859375,49.0,103.300048828125,533.6637861587108,23.101164173234014,561.7513538512744,23.701294349703232,-0.3692559770546754,1.311962558726428
TCS.NS,Adj Close,20,48689.899658203125,2434.494982910156,2409.8499755859375,"[2356.0, 2358.89990234375, 2377.39990234375, 2383.800048828125, 2389.800048828125, 2390.60009765625, 2391.699951171875, 2398.800048828125, 2408.199951171875, 2409.199951171875, 2410.5, 2440.800048828125, 2442.39990234375, 2450.699951171875, 2464.89990234375, 2473.89990234375, 2513.10009765625, 2527.39990234375, 2539.800048828125, 2562.0]",2356.0,2390.4000854492188,2409.8499755859375,2467.14990234375,76.74981689453125,2562.0,206.0,3582.0847302047905,59.85051988249384,3770.615505478727,61.40533776048078,0.7689780593572229,-0.46497854971941743
