Column,RELIANCE.NS Mean,MRF.NS Mean,RELIANCE.NS Std Dev,MRF.NS Std Dev,RELIANCE.NS Min,MRF.NS Min,RELIANCE.NS Max,MRF.NS Max
Close,1387.5,132736.66666666666,24.853042039465915,4439.760915198812,1343.9000244140625,124975.0,1424.0,140215.0
Volume,20732068.523809522,8359.190476190477,4577506.536608308,3120.1787436443847,9559327.0,4972.0,32495007.0,18685.0
Daily Return %,-0.013982071605093705,-0.45055956904245686,1.6500731380118803,1.8752605688156703,-4.5998160868305105,-2.777777777777779,3.301117056807623,3.8245094409477876
High-Low Gap,33.39049130394345,3410.4761904761904,12.710274403639627,1042.6818726382196,15.7000732421875,1800.0,59.699951171875,5235.0
Open-Close Change,-0.12856329055059523,-756.4285714285714,21.790618993351476,2109.9459160621827,-52.9000244140625,-4405.0,49.0,4200.0
