Column,RELIANCE.NS Mean,TCS.NS Mean,RELIANCE.NS Std Dev,TCS.NS Std Dev,RELIANCE.NS Min,TCS.NS Min,RELIANCE.NS Max,TCS.NS Max
Close,1310.5260805876358,1316.9249877929688,26.86275957507136,6.309667284830968,1258.800048828125,1309.5,1356.300048828125,1326.5
Volume,16988798.95652174,13014169.0,7783936.1285866415,1560089.2835759432,0.0,11030917.0,42634247.0,15400184.0
Daily Return %,-0.12360985027317134,-0.20863441863395726,1.1103600025947031,0.7587740591081353,-2.169570442660129,-1.2815680361854542,2.375296912114022,0.342570042907675
High-Low Gap,23.29564898947011,24.425018310546875,11.043642866970245,6.766232042838812,0.0,13.4000244140625,52.0,30.800048828125
Open-Close Change,-3.9652205757472827,-0.399993896484375,12.863052067747759,11.55619211387907,-42.800048828125,-19.4000244140625,16.0,9.800048828125
