Date,Adj Close,Close,High,Low,Open,Volume,Daily Return %,High-Low Gap,Open-Close Change
2026-05-25,1360.7086181640625,1367.0,1371.0999755859375,1357.0,1366.800048828125,6750071,,14.0999755859375,0.199951171875
2026-05-26,1350.0579833984375,1356.300048828125,1368.5,1352.4000244140625,1360.0999755859375,13769747,-0.7827323461503277,16.0999755859375,-3.7999267578125
2026-05-27,1344.2845458984375,1350.5,1361.0,1348.5999755859375,1353.0,13215138,-0.42763758897865767,12.4000244140625,-2.5
2026-05-28,1344.2845458984375,1350.5,1350.5,1350.5,1350.5,0,0.0,0.0,0.0
2026-05-29,1315.119384765625,1321.199951171875,1369.0,1317.0,1364.0,42634247,-2.169570442660129,52.0,-42.800048828125
2026-06-01,1313.9249267578125,1320.0,1335.5,1318.5,1332.5,10700603,-0.0908228289601909,17.0,-12.5
2026-06-02,1308.5498046875,1314.5999755859375,1327.800048828125,1300.300048828125,1307.699951171875,23302785,-0.4090927586410942,27.5,6.9000244140625
2026-06-03,1307.15625,1313.199951171875,1324.0,1301.0,1315.0,20012293,-0.1064981317558944,23.0,-1.800048828125
2026-06-04,1297.699951171875,1303.699951171875,1311.199951171875,1293.0999755859375,1301.0,23474327,-0.7234237247360831,18.0999755859375,2.699951171875
2026-06-05,1291.0,1291.0,1306.0,1288.0,1304.5,17785223,-0.9741467858811581,18.0,-13.5
2026-06-08,1263.300048828125,1263.300048828125,1282.5999755859375,1259.199951171875,1277.0,16494759,-2.1456197654434517,23.4000244140625,-13.699951171875
2026-06-09,1269.199951171875,1269.199951171875,1274.199951171875,1257.5,1269.0,23620214,0.46702304406802675,16.699951171875,0.199951171875
2026-06-10,1258.800048828125,1258.800048828125,1300.5,1254.4000244140625,1275.0,21012796,-0.819406141179535,46.0999755859375,-16.199951171875
2026-06-11,1263.0,1263.0,1276.0,1253.199951171875,1258.0,13117486,0.3336472043979466,22.800048828125,5.0
2026-06-12,1293.0,1293.0,1297.0,1262.5,1277.0,11988785,2.375296912114022,34.5,16.0
2026-06-15,1307.0,1307.0,1325.0,1303.300048828125,1315.300048828125,18633321,1.0827532869296164,21.699951171875,-8.300048828125
2026-06-16,1328.800048828125,1328.800048828125,1333.4000244140625,1306.4000244140625,1313.4000244140625,18513223,1.66794558746175,27.0,15.4000244140625
2026-06-17,1332.699951171875,1332.699951171875,1334.0,1317.0,1333.0,10029170,0.2934905328449755,17.0,-0.300048828125
2026-06-18,1328.0999755859375,1328.0999755859375,1333.9000244140625,1322.0,1330.0,15494549,-0.3451621335989863,11.9000244140625,-1.9000244140625
2026-06-19,1309.5,1309.5,1338.199951171875,1305.300048828125,1328.0,24887034,-1.4004951380058195,32.89990234375,-18.5
2026-06-22,1326.5,1326.5,1344.9000244140625,1314.0999755859375,1316.699951171875,12931213,1.298205421916765,30.800048828125,9.800048828125
2026-06-23,1309.5,1309.5,1333.0,1304.0,1328.9000244140625,15400184,-1.2815680361854542,29.0,-19.4000244140625
2026-06-24,1312.699951171875,1312.699951171875,1322.0,1297.5,1305.699951171875,10269483,0.24436435065864348,24.5,7.0
