Column,RELIANCE.NS Mean,TCS.NS Mean,RELIANCE.NS Std Dev,TCS.NS Std Dev,RELIANCE.NS Min,TCS.NS Min,RELIANCE.NS Max,TCS.NS Max
Close,1373.7285679408483,2441.1190359933034,34.57369830576719,66.08199615377384,1304.5999755859375,2356.0,1414.4000244140625,2589.0
Volume,20233491.80952381,4289297.523809524,4360224.067499749,1588844.4177890695,9559327.0,2466488.0,29274881.0,9059040.0
Daily Return %,-0.21595990459573663,0.01694423917641963,1.7740060642994893,1.64360381575998,-4.5998160868305105,-3.474272661901945,3.3113654798885728,2.6638162046064062
High-Low Gap,30.13810802641369,59.219017392113095,13.911183893425976,16.791294550596234,15.7000732421875,33.800048828125,69.0,95.89990234375
Open-Close Change,-7.038091750372024,-5.533354259672619,19.485331478230083,34.304028850951724,-54.300048828125,-61.0,16.4000244140625,78.800048828125
